complaint_id,submission_timestamp,created_at_utc,recipients,customer_email,country,product_name,lot_serial_no,complaint_type,pdf_filename,dropbox_file_path,dropbox_shared_link,github_run_url,all_fields_kv
RN-20251216-1433,2025-12-16T13:33:01.111Z,2025-12-16T13:33:15.661371+00:00,,,,,,,,,,https://github.com/raz-redentnova/customer_complaint_form/actions/runs/20269721170,
RN-20251216-1603,2025-12-16T15:03:11.853Z,2025-12-16T15:03:50.942106+00:00,,,,,,,,,,https://github.com/raz-redentnova/customer_complaint_form/actions/runs/20272491421,
CC2025-01,2025-12-17T10:13:22.997Z,2025-12-17T10:24:52.677761+00:00,lab@redentnova.de,,,,,,CC2025-01.pdf,,,https://github.com/likithjayaramgowda/Customer_cc/actions/runs/20299259931,"complaint_id=RN-20251217-1113 | email_to=['lab@redentnova.de', 'likithjayaramgowda@gmail.com'] | mail_error={'lab@redentnova.de': (550, b'to send email from a blank sender, enable blank senders')} | mail_ok=False | sections=[{'rows': [{'label': 'First Name', 'value': 'Likith'}, {'label': 'Last Name', 'value': 'Jayaram Gowda'}, {'label': 'Phone Number', 'value': '01748856263'}, {'label': 'Email Address', 'value': 'likithjayaramgowda@gmail.com'}, {'label': 'Address', 'value': 'Damerowstrase 14'}], 'title': 'Form Details'}, {'rows': [{'label': 'Product Name', 'value': 'Hsbs'}, {'label': 'Product Size', 'value': ''}, {'label': 'LOT / Serial Number', 'value': 'Bsb'}, {'label': 'Quantity', 'value': ''}, {'label': 'Purchased From (Distributor)', 'value': 'Hsbs'}, {'label': 'Country', 'value': 'Hsh'}], 'title': 'Product Information'}, {'rows': [{'label': 'Complaint Type', 'value': 'Product Defect'}, {'label': 'Complaint Description', 'value': ''}, {'label': 'Additional Information', 'value': ''}, {'label': 'Primary Solution (If Provided)', 'value': 'No'}, {'label': 'Comments On Solution', 'value': ''}], 'title': 'Complaint Details'}, {'rows': [{'label': 'Should this complaint be reported to authorities?', 'value': 'No'}], 'title': 'Regulatory Trigger'}] | submission_id=RN-20251217-1113 | submission_timestamp=2025-12-17T10:13:22.997Z"
CC2025-02,2025-12-17T10:13:22.997Z,2025-12-17T10:52:51.898247+00:00,lab@redentnova.de,,,,,,CC2025-02.pdf,,,https://github.com/likithjayaramgowda/Customer_cc/actions/runs/20299259931,"{""complaint_id"": ""RN-20251217-1113"", ""email_to"": [""lab@redentnova.de"", ""likithjayaramgowda@gmail.com""], ""sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}], ""submission_id"": ""RN-20251217-1113"", ""submission_timestamp"": ""2025-12-17T10:13:22.997Z"", ""mail_ok"": false, ""mail_error"": ""(501, b'<None>: sender address must contain a domain', 'None')""}"
CC2025-03,2025-12-17T11:17:53.791Z,2025-12-17T11:18:08.942509+00:00,lab@redentnova.de,,,,,,CC2025-03.pdf,,,https://github.com/likithjayaramgowda/Customer_cc/actions/runs/20300998059,"{""complaint_id"": ""RN-20251217-1217"", ""email_to"": [""lab@redentnova.de"", ""likithjayaramgowda@gmail.com""], ""sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}], ""submission_id"": ""RN-20251217-1217"", ""submission_timestamp"": ""2025-12-17T11:17:53.791Z"", ""mail_ok"": false, ""mail_error"": ""(501, b'<None>: sender address must contain a domain', 'None')"", ""_sections"": null}"
CC2025-04,2025-12-17T13:13:29.254Z,2025-12-17T13:13:52.669899+00:00,lab@redentnova.de,likithjayaramgowda@gmail.com,Hsh,Hsbs,Bsb,Product Defect,CC2025-04.pdf,,,https://github.com/likithjayaramgowda/Customer_cc/actions/runs/20304017054,"{""complaint_id"": ""RN-20251217-1413"", ""email_to"": [""lab@redentnova.de"", ""likithjayaramgowda@gmail.com""], ""sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}], ""submission_id"": ""RN-20251217-1413"", ""submission_timestamp"": ""2025-12-17T13:13:29.254Z"", ""mail_ok"": true, ""mail_error"": """", ""_sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}]}"
CC2025-05,2025-12-17T13:59:39.295Z,2025-12-17T13:59:55.930628+00:00,"lab@redentnova.de, likithjayaramgowda@gmail.com",likithjayaramgowda@gmail.com,Hsh,Hsbs,Bsb,Product Defect,CC2025-05.pdf,,,,"{""complaint_id"": ""RN-20251217-1459"", ""email_to"": [""lab@redentnova.de"", ""likithjayaramgowda@gmail.com""], ""sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}], ""submission_id"": ""RN-20251217-1459"", ""submission_timestamp"": ""2025-12-17T13:59:39.295Z"", ""mail_ok"": true, ""mail_error"": """", ""dropbox_ok"": false, ""dropbox_error"": ""AuthError('f3e2ef47094b4328847bc6176942b75b', AuthError('expired_access_token', None))"", ""customer_email"": ""likithjayaramgowda@gmail.com"", ""_sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}]}"
CC2025-06,2025-12-17T14:06:48.540Z,2025-12-17T14:07:12.799227+00:00,"lab@redentnova.de, likithjayaramgowda@gmail.com",likithjayaramgowda@gmail.com,Hsh,Hsbs,Bsb,Product Defect,CC2025-06.pdf,,,,"{""complaint_id"": ""RN-20251217-1506"", ""email_to"": [""lab@redentnova.de"", ""likithjayaramgowda@gmail.com""], ""sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}], ""submission_id"": ""RN-20251217-1506"", ""submission_timestamp"": ""2025-12-17T14:06:48.540Z"", ""mail_ok"": true, ""mail_error"": """", ""dropbox_ok"": false, ""dropbox_error"": ""AuthError('553d1c161d634c2fb4de26e36942b910', AuthError('expired_access_token', None))"", ""customer_email"": ""likithjayaramgowda@gmail.com"", ""_sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}]}"
CC2025-07,2025-12-17T14:12:54.905Z,2025-12-17T14:13:14.849633+00:00,"lab@redentnova.de, likithjayaramgowda@gmail.com",likithjayaramgowda@gmail.com,Hsh,Hsbs,Bsb,Product Defect,CC2025-07.pdf,,,,"{""complaint_id"": ""RN-20251217-1512"", ""email_to"": [""lab@redentnova.de"", ""likithjayaramgowda@gmail.com""], ""sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}], ""submission_id"": ""RN-20251217-1512"", ""submission_timestamp"": ""2025-12-17T14:12:54.905Z"", ""mail_ok"": true, ""mail_error"": """", ""dropbox_ok"": false, ""dropbox_error"": ""BadInputError('a02bc201c38c4e71a556eac86942ba7a', 'Error in call to API function \""files/get_metadata\"": Your app (ID: 5574835) is not permitted to access this endpoint because it does not have the required scope \\'files.metadata.read\\'. The owner of the app can enable the scope for the app using the Permissions tab on the App Console.')"", ""customer_email"": ""likithjayaramgowda@gmail.com"", ""_sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}]}"
CC2025-08,2025-12-17T14:14:48.420Z,2025-12-17T14:15:07.773210+00:00,"lab@redentnova.de, likithjayaramgowda@gmail.com",likithjayaramgowda@gmail.com,Hsh,Hsbs,Bsb,Product Defect,CC2025-08.pdf,,,,"{""complaint_id"": ""RN-20251217-1514"", ""email_to"": [""lab@redentnova.de"", ""likithjayaramgowda@gmail.com""], ""sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}], ""submission_id"": ""RN-20251217-1514"", ""submission_timestamp"": ""2025-12-17T14:14:48.420Z"", ""mail_ok"": true, ""mail_error"": """", ""dropbox_ok"": false, ""dropbox_error"": ""BadInputError('4e78b1c51c5d4dcfa9d2d3806942baeb', 'Error in call to API function \""files/get_metadata\"": Your app (ID: 5574835) is not permitted to access this endpoint because it does not have the required scope \\'files.metadata.read\\'. The owner of the app can enable the scope for the app using the Permissions tab on the App Console.')"", ""customer_email"": ""likithjayaramgowda@gmail.com"", ""_sections"": [{""rows"": [{""label"": ""First Name"", ""value"": ""Likith""}, {""label"": ""Last Name"", ""value"": ""Jayaram Gowda""}, {""label"": ""Phone Number"", ""value"": ""01748856263""}, {""label"": ""Email Address"", ""value"": ""likithjayaramgowda@gmail.com""}, {""label"": ""Address"", ""value"": ""Damerowstrase 14""}], ""title"": ""Form Details""}, {""rows"": [{""label"": ""Product Name"", ""value"": ""Hsbs""}, {""label"": ""Product Size"", ""value"": """"}, {""label"": ""LOT / Serial Number"", ""value"": ""Bsb""}, {""label"": ""Quantity"", ""value"": """"}, {""label"": ""Purchased From (Distributor)"", ""value"": ""Hsbs""}, {""label"": ""Country"", ""value"": ""Hsh""}], ""title"": ""Product Information""}, {""rows"": [{""label"": ""Complaint Type"", ""value"": ""Product Defect""}, {""label"": ""Complaint Description"", ""value"": """"}, {""label"": ""Additional Information"", ""value"": """"}, {""label"": ""Primary Solution (If Provided)"", ""value"": ""No""}, {""label"": ""Comments On Solution"", ""value"": """"}], ""title"": ""Complaint Details""}, {""rows"": [{""label"": ""Should this complaint be reported to authorities?"", ""value"": ""No""}], ""title"": ""Regulatory Trigger""}]}"
